# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11462336068
#
# Overhead  Symbol                                                                                                                                                                                                                                IPC   [IPC Coverage]
# ........  ....................................................................................................................................................................................................................................  ....................
#
     0.08%  [.] __gmpz_clear                                                                                                                                                                                                                      -      -
     0.08%  [.] lean_mk_array                                                                                                                                                                                                                     -      -
     0.08%  [.] l_List_MergeSort_Internal_splitRevInTwo___redArg                                                                                                                                                                                  -      -
     0.08%  [.] lean::validate_utf8_one(unsigned char const*, unsigned long, unsigned long&)                                                                                                                                                      -      -
     0.07%  [.] lean_obj_once_cold                                                                                                                                                                                                                -      -
     0.05%  [.] l_Lean_Option_register___at___00__private_Lean_CoreM_0__Lean_initFn_00___x40_Lean_CoreM_1504562188____hygCtx___hyg_4__spec__0                                                                                                     -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_initialPartition_spec__1___redArg                                                                                    -      -
     0.04%  [.] lean_apply_2                                                                                                                                                                                                                      -      -
     0.04%  [.] memcpy@plt                                                                                                                                                                                                                        -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_VSet_insert                                                                                                                                                                                             -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_Sort_partition                                                                                                                                                                                   -      -
     0.04%  [.] __gmpz_init_set_ui                                                                                                                                                                                                                -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_inverse_spec__0___redArg                                                                                             -      -
     0.04%  [.] lean_list_to_array                                                                                                                                                                                                                -      -
     0.04%  [.] lean::mpz::mpz(unsigned int)                                                                                                                                                                                                      -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_cellEnd                                                                                                                                                                                                 -      -
     0.04%  [.] realloc                                                                                                                                                                                                                           -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_Sort_pivot___lam__0                                                                                                                                                                              -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_initial___lam__0___boxed                                                                                                                                                                         -      -
     0.04%  [.] _mi_arenas_collect(bool, bool, mi_tld_s*)                                                                                                                                                                                         -      -
     0.04%  [.] mi_page_free_list_extend(mi_page_s*, unsigned long, unsigned long)                                                                                                                                                                -      -
     0.04%  [.] __gmpz_add                                                                                                                                                                                                                        -      -
     0.04%  [.] mi_arena_schedule_purge(mi_arena_s*, unsigned long, unsigned long)                                                                                                                                                                -      -
     0.04%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_mergeSortTR_u2082_run_x27___redArg                                                                                                                                -      -
     0.04%  [.] lean_nat_shiftl                                                                                                                                                                                                                   -      -
     0.04%  [.] l_List_range_loop                                                                                                                                                                                                                 -      -
     0.04%  [.] __gmpn_lshift_x86_64                                                                                                                                                                                                              -      -
     0.04%  [.] l_Nat_testBit                                                                                                                                                                                                                     -      -
     0.04%  [.] l_Nat_decLe___boxed                                                                                                                                                                                                               -      -
     0.04%  [.] lean_array_to_list_impl                                                                                                                                                                                                           -      -
     0.04%  [.] mi_page_queue_find_free_ex(mi_theap_s*, mi_page_queue_s*, bool)                                                                                                                                                                   -      -
     0.04%  [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                   -      -
     0.04%  [.] lean_mark_mt                                                                                                                                                                                                                      -      -
     0.04%  [.] lean_st_ref_set                                                                                                                                                                                                                   -      -
     0.03%  [.] l___private_Lean_Data_Trie_0__Lean_Data_Trie_find_x3f_loop___redArg                                                                                                                                                               -      -
     0.03%  [.] l_Lean_PersistentHashMap_insertAux___at___00Lean_PersistentHashMap_insert___at___00Lean_Parser_SyntaxNodeKindSet_insert_spec__0_spec__0___redArg                                                                                  -      -
     0.03%  [.] lean_nat_big_lt                                                                                                                                                                                                                   -      -
     0.03%  [.] _mi_page_retire(mi_page_s*)                                                                                                                                                                                                       -      -
     0.00%  [.] _dl_relocate_object_no_relro                                                                                                                                                                                                      -      -
     0.00%  [.] __GI___tunables_init                                                                                                                                                                                                              -      -
     0.00%  [.] _dl_start                                                                                                                                                                                                                         -      -
     0.00%  [k] 0xffffffffae201280                                                                                                                                                                                                                -      -
     0.00%  [.] _start                                                                                                                                                                                                                            -      -


#
# (Tip: To show time in nanoseconds in record/report add --ns)
#
