# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 14374831046
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                      IPC   [IPC Coverage]
# ........  ..........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.22%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__2___redArg                                                                                                                                                                                                                                                           -      -
     0.22%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Generic_resume___at___00Hex_GraphIso_Nauty_Generic_advance___at___00Hex_GraphIso_Nauty_Generic_sweepStep___at___00Hex_GraphIso_Nauty_Generic_sweep___at___00Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0_spec__0_spec__1_spec__3_spec__4_spec__5___redArg  -      -
     0.22%  [.] l_Nat_decLe___boxed                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.22%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_RefineSt_push                                                                                                                                                                                                                                                                                                                                                          -      -
     0.15%  [.] free@plt                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.15%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_splitNontrivial                                                                                                                                                                                                                                                                                                                                                        -      -
     0.12%  [.] l_List_MergeSort_Internal_mergeSortTR_u2082___redArg                                                                                                                                                                                                                                                                                                                                                    -      -
     0.12%  [.] lean_alloc_object                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.12%  [.] lean_list_to_array                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.09%  [.] __gmpn_lshift_x86_64                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.09%  [.] realloc@plt                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.09%  [.] __gmp_default_reallocate                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.09%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_mergeSortTR_u2082_run_x27___redArg                                                                                                                                                                                                                                                                                                      -      -
     0.09%  [.] lp_Hex_Hex_GraphIso_Nauty_breakout_go                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.09%  [.] _mi_malloc_generic(mi_theap_s*, unsigned long, unsigned long, unsigned long*)                                                                                                                                                                                                                                                                                                                           -      -
     0.09%  [.] l_List_reverseAux___redArg                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.09%  [.] _mi_page_retire(mi_page_s*)                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.09%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__3___redArg                                                                                                                                                                                                                                                               -      -
     0.09%  [.] lp_Hex___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__3                                                                                                                                                                                                                                                                         -      -
     0.09%  [.] lean_mk_array                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.09%  [.] lean::mpz::is_size_t() const                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.09%  [.] mi_page_free_list_extend(mi_page_s*, unsigned long, unsigned long)                                                                                                                                                                                                                                                                                                                                      -      -
     0.07%  [.] lean_apply_1                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.06%  [.] lean_array_to_list                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.06%  [.] lp_Hex_Hex_GraphIso_Nauty_Generic_resume___at___00Hex_GraphIso_Nauty_Generic_advance___at___00Hex_GraphIso_Nauty_Generic_sweepStep___at___00Hex_GraphIso_Nauty_Generic_sweep___at___00Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0_spec__0_spec__1_spec__3_spec__4___redArg                                                                                      -      -
     0.06%  [.] mi_free_size                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.06%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_indirect_spec__0___redArg                                                                                                                                                                                                                                                             -      -
     0.06%  [.] lp_Hex_Hex_GraphIso_Nauty_cellEnd                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.06%  [.] mi_bin(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.06%  [.] lean_st_ref_take                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.05%  [.] l_Lean_Parser_andthenInfo                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.04%  [.] lean_mark_mt                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.03%  [.] l___private_Init_Data_Array_Basic_0__Array_anyMUnsafe_any___redArg                                                                                                                                                                                                                                                                                                                                      -      -
     0.03%  [k] 0xffffffffae201280                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.03%  [.] std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >::push_back(char)                                                                                                                                                                                                                                                                                                  -      -
     0.03%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_Sort_pivot                                                                                                                                                                                                                                                                                                                                                             -      -
     0.03%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_Sort_median                                                                                                                                                                                                                                                                                                                                                            -      -
     0.03%  [.] lean_array_mk                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.03%  [.] lp_Hex_Hex_GraphIso_Nauty_VSet_nextElem___redArg                                                                                                                                                                                                                                                                                                                                                        -      -
     0.03%  [.] lean::mul2k(lean::mpz&, lean::mpz const&, unsigned int)                                                                                                                                                                                                                                                                                                                                                 -      -
     0.03%  [.] lean_dec_ref_known                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.03%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__2___redArg                                                                                                                                                                                                                                                            -      -
     0.03%  [.] __vdso_clock_gettime                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.03%  [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.03%  [k] 0xffffffffad48c19f                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.03%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__2___redArg                                                                                                                                                                                                                                                                    -      -
     0.01%  [.] _dl_relocate_object_no_relro                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.00%  [.] get_common_indices.constprop.0                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.00%  [.] _dl_start                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.00%  [.] _start                                                                                                                                                                                                                                                                                                                                                                                                  -      -


#
# (Tip: To show inline functions in call traces add --inline to perf report)
#
