# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 12840710039
#
# Overhead  Symbol                                                                                                                                                                                                                                IPC   [IPC Coverage]
# ........  ....................................................................................................................................................................................................................................  ....................
#
     0.07%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_cellstarts_spec__0___redArg                                                                                          -      -
     0.07%  [.] l_List_MergeSort_Internal_mergeSortTR_u2082___redArg                                                                                                                                                                              -      -
     0.07%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__3___redArg                                                                                      -      -
     0.07%  [.] l_List_MergeSort_Internal_splitRevInTwo_x27___redArg                                                                                                                                                                              -      -
     0.07%  [.] lean_io_prim_handle_get_line                                                                                                                                                                                                      -      -
     0.05%  [.] l_List_foldlM___at___00Lean_Parser_addParserTokens_spec__0                                                                                                                                                                        -      -
     0.04%  [.] lean_mark_persistent                                                                                                                                                                                                              -      -
     0.04%  [.] l___private_Lean_Elab_Tactic_Ext_0__Lean_Elab_Tactic_Ext_initFn_00___x40_Lean_Elab_Tactic_Ext_2565641293____hygCtx___hyg_2_                                                                                                       -      -
     0.03%  [.] l_Nat_testBit                                                                                                                                                                                                                     -      -
     0.03%  [.] mi_bchunk_try_find_and_clear(mi_bchunk_s*, unsigned long*)                                                                                                                                                                        -      -
     0.03%  [.] lean::mpz::~mpz()                                                                                                                                                                                                                 -      -
     0.03%  [.] __gmp_default_free                                                                                                                                                                                                                -      -
     0.03%  [.] l_List_MergeSort_Internal_splitRevInTwo___redArg                                                                                                                                                                                  -      -
     0.03%  [.] __gmp_default_reallocate                                                                                                                                                                                                          -      -
     0.03%  [.] mi_page_queue_find_free_ex(mi_theap_s*, mi_page_queue_s*, bool)                                                                                                                                                                   -      -
     0.03%  [.] l___private_Init_Data_Array_Basic_0__Array_ofFn_go___redArg                                                                                                                                                                       -      -
     0.03%  [.] lp_Hex_Hex_GraphIso_Nauty_cellEnd                                                                                                                                                                                                 -      -
     0.03%  [.] mi_page_queue_push(mi_theap_s*, mi_page_queue_s*, mi_page_s*)                                                                                                                                                                     -      -
     0.03%  [.] mi_page_free_list_extend(mi_page_s*, unsigned long, unsigned long)                                                                                                                                                                -      -
     0.03%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_Sort_median                                                                                                                                                                                      -      -
     0.03%  [.] __gmpn_copyd_x86_64                                                                                                                                                                                                               -      -
     0.03%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_updatecan                                                                                                                                                                                        -      -
     0.03%  [.] __gmpz_clear                                                                                                                                                                                                                      -      -
     0.03%  [k] 0xffffffffae2015f0                                                                                                                                                                                                                -      -
     0.03%  [.] runtime_initialize_Lean_Linter_CheckUnivs                                                                                                                                                                                         -      -
     0.03%  [.] _mi_page_retire(mi_page_s*)                                                                                                                                                                                                       -      -
     0.03%  [.] _mi_theap_collect_retired(mi_theap_s*, bool)                                                                                                                                                                                      -      -
     0.03%  [.] lean::utf8_strlen(char const*, unsigned long)                                                                                                                                                                                     -      -
     0.01%  [.] _dl_relocate_object_no_relro                                                                                                                                                                                                      -      -
     0.00%  [.] init_cpu_features.constprop.0                                                                                                                                                                                                     -      -
     0.00%  [k] 0xffffffffae201280                                                                                                                                                                                                                -      -
     0.00%  [.] _dl_start                                                                                                                                                                                                                         -      -


#
# (Tip: List events using substring match: perf list <keyword>)
#
