# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 12451310811
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                      IPC   [IPC Coverage]
# ........  ..........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_breakout                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.04%  [.] lp_Hex___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__3                                                                                                                                                                                                                                                                         -      -
     0.04%  [.] lean::mpz::mpz()                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_orbjoin_spec__1___redArg                                                                                                                                                                                                                                                                          -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_VSet_erase                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.04%  [.] lean::mul2k(lean::mpz&, lean::mpz const&, unsigned int)                                                                                                                                                                                                                                                                                                                                                 -      -
     0.04%  [.] _mi_arenas_collect(bool, bool, mi_tld_s*)                                                                                                                                                                                                                                                                                                                                                               -      -
     0.04%  [.] __gmpz_clear                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.04%  [.] l_List_MergeSort_Internal_splitRevInTwo_x27___redArg                                                                                                                                                                                                                                                                                                                                                    -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__2___redArg                                                                                                                                                                                                                                                               -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_Generic_nodeStep___at___00Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0_spec__1                                                                                                                                                                                                                                                         -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_initial___lam__0___boxed                                                                                                                                                                                                                                                                                                                                               -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__2___redArg                                                                                                                                                                                                                                                                    -      -
     0.04%  [.] __gmpn_lshift_x86_64                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__1___redArg                                                                                                                                                                                                                                                               -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_VSet_firstFrom___redArg                                                                                                                                                                                                                                                                                                                                                       -      -
     0.04%  [.] mi_bbitmap_setN(mi_bbitmap_s*, unsigned long, unsigned long)                                                                                                                                                                                                                                                                                                                                            -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_isautom_spec__0___redArg                                                                                                                                                                                                                                                                   -      -
     0.04%  [.] mi_free_size                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.04%  [.] l_List_reverseAux___redArg                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__4___redArg                                                                                                                                                                                                                                                               -      -
