n,step,dividend_degree,divisor_degree,next_remainder_degree,next_remainder_zero,divisor_num_max,divisor_den_max,divisor_total_bits,cofactor_num_max,cofactor_den_max,coefficient_ops,bit_work,limb_work
64,34,31,30,29,false,226,224,13371,220,222,230,310060,5417
64,35,30,29,28,false,246,243,14065,241,243,231,338171,5799
64,36,29,28,27,false,266,265,14735,262,265,232,368958,6415
64,37,28,27,26,false,277,274,14782,271,272,233,391300,6865
64,38,27,26,25,false,298,296,15382,293,296,234,420893,7121
64,39,26,25,24,false,315,316,15614,308,314,235,450151,7496
64,40,25,24,23,false,330,326,15618,324,324,236,472726,7961
64,41,24,23,22,false,336,336,15290,329,333,237,488044,8470
64,42,23,22,21,false,350,348,15248,344,347,238,508592,8553
64,43,22,21,20,false,363,362,15125,355,359,239,531375,8945
64,44,21,20,19,false,379,378,15104,375,378,240,558691,9208
64,45,20,19,18,false,390,390,14736,385,389,241,581603,9627
64,46,19,18,17,false,403,398,14340,395,396,242,600199,10218
64,47,18,17,16,false,414,412,13980,407,409,243,620519,10314
64,48,17,16,15,false,425,420,13464,420,419,244,641117,10590
64,49,16,15,14,false,439,436,13030,432,435,245,663599,10983
64,50,15,14,13,false,453,452,12620,447,451,246,690461,11371
64,51,14,13,12,false,468,466,12075,461,465,247,717406,12040
64,52,13,12,11,false,484,484,11539,477,481,248,746448,12320
64,53,12,11,10,false,499,495,10891,492,494,249,773391,12639
64,54,11,10,9,false,507,508,10096,500,505,250,794774,12872
64,55,10,9,8,false,518,517,9292,513,516,251,816774,13267
64,56,9,8,7,false,534,534,8525,528,533,252,844354,13942
64,57,8,7,6,false,548,546,7628,540,545,253,869213,14181
64,58,7,6,5,false,558,559,6685,552,558,254,893814,14573
64,59,6,5,4,false,572,568,5682,567,568,255,918680,14824
64,60,5,4,3,false,584,585,4672,580,585,256,946288,15562
64,61,4,3,2,false,600,600,3596,595,599,257,975213,15960
64,62,3,2,1,false,611,612,2443,605,609,258,999447,16251
64,63,2,1,0,false,622,625,1249,620,625,259,1027120,16714
64,64,1,0,0,true,1,1,2,636,641,260,649613,10735
96,0,95,96,95,false,2,1,100,0,0,98,729,489
96,1,96,95,94,false,4,6,601,1,4,293,4462,1361
96,2,95,94,93,false,12,11,1472,7,8,294,12162,1361
96,3,94,93,92,false,20,18,2797,15,16,295,23947,1361
96,4,93,92,91,false,28,24,4003,22,21,296,36958,1361
96,5,92,91,90,false,37,36,5863,33,34,297,53715,1539
96,6,91,90,89,false,47,45,7325,42,44,298,70125,1941
96,7,90,89,88,false,50,44,7170,44,42,299,73824,1941
96,8,89,88,87,false,50,47,7112,43,43,300,74752,1941
96,9,88,87,86,false,57,56,8149,50,52,301,84976,1957
96,10,87,86,85,false,65,63,9358,60,61,302,100052,1977
96,11,86,85,84,false,77,77,11182,73,76,303,121249,2861
96,12,85,84,83,false,90,89,12574,85,88,304,141576,3073
96,13,84,83,82,false,95,91,12167,88,88,305,147886,3079
96,14,83,82,81,false,93,89,11533,87,86,306,144505,3069
96,15,82,81,80,false,92,86,11139,86,83,307,142479,3067
96,16,81,80,79,false,97,96,11972,93,95,308,152222,3109
96,17,80,79,78,false,105,101,12690,100,100,309,164344,3230
96,18,79,78,77,false,111,109,13694,105,108,310,177999,3624
96,19,78,77,76,false,114,111,13690,106,106,311,184169,3751
96,20,77,76,75,false,115,112,13935,108,108,312,188153,3781
96,21,76,75,74,false,117,114,14320,112,113,313,194993,3846
96,22,75,74,73,false,124,119,15004,118,118,314,206970,3883
96,23,74,73,72,false,133,131,16348,128,130,315,225593,4097
96,24,73,72,71,false,141,137,17324,135,135,316,242526,4890
96,25,72,71,70,false,142,142,17698,137,138,317,252471,5173
96,26,71,70,69,false,148,145,18232,141,143,318,262394,5230
96,27,70,69,68,false,152,150,19143,148,150,319,277508,5279
96,28,69,68,67,false,165,164,20716,161,164,320,301350,5472
96,29,68,67,66,false,178,176,22540,174,176,321,328801,5904
96,30,67,66,65,false,188,181,23363,182,180,322,348224,6107
96,31,66,65,64,false,197,196,24758,191,194,323,370040,6319
96,32,65,64,63,false,203,202,25227,197,199,324,386335,7140
96,33,64,63,62,false,208,208,25639,204,207,325,402335,7483
96,34,63,62,61,false,222,221,26513,213,219,326,421669,7518
96,35,62,61,60,false,230,227,26983,221,224,327,437973,7614
96,36,61,60,59,false,236,236,27253,226,232,328,452430,7764
96,37,60,59,58,false,233,234,26685,226,230,329,455574,7972
96,38,59,58,57,false,232,229,25924,225,224,330,451692,7706
96,39,58,57,56,false,226,219,24588,220,216,331,440623,7705
96,40,57,56,55,false,224,222,24214,219,219,332,436808,7686
96,41,56,55,54,false,223,219,23507,215,215,333,433088,7714
96,42,55,54,53,false,221,212,22768,214,210,334,430632,7742
96,43,54,53,52,false,221,219,22629,214,215,335,435715,7770
96,44,53,52,51,false,225,225,22874,220,221,336,446128,7836
96,45,52,51,50,false,226,224,22358,220,219,337,450137,7883
96,46,51,50,49,false,226,221,21825,220,217,338,448713,7857
96,47,50,49,48,false,219,219,20974,211,214,339,443146,7873
