# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu/cycles/P'
# Event count (approx.): 71586769177
#
# Overhead  Command  Shared Object           Symbol                                                                                                                                                                                                                                                                
# ........  .......  ......................  ......................................................................................................................................................................................................................................................................
#
     0.06%  lean     libleanshared.so        [.] __gmpn_and_n
     0.06%  lean     [unknown]               [k] 0xffffffffbb985b53
     0.06%  lake     [unknown]               [k] 0xffffffffbb98599b
     0.06%  lean     [unknown]               [k] 0xffffffffbba8e2b8
     0.06%  lean     [unknown]               [k] 0xffffffffbb713942
     0.06%  lake     libLake_shared.so       [.] l_Lake_LeanLibConfig_isBuildableModule___redArg
     0.06%  lean     libleanshared.so        [.] l___private_Lean_Compiler_LCNF_Basic_0__Lean_Compiler_LCNF_Arg_updateTypeImp
     0.06%  lean     libleanshared.so        [.] l_Lean_PersistentEnvExtension_getModuleIREntries___redArg
     0.06%  lean     libleanshared.so        [.] l_Lean_Compiler_LCNF_hasLocalInst___redArg
     0.06%  lean     libHex_HexPrimality.so  [.] lp_Hex_Hex_Nat_Sieve_readBits
     0.06%  lean     libleanshared.so        [.] l_Lean_Level_succ___override
     0.06%  lean     libleanshared.so        [.] lean_st_ref_set
     0.06%  lake     [vdso]                  [.] __vdso_clock_gettime
     0.06%  lean     libleanshared.so        [.] l___private_Init_Data_Array_Basic_0__Array_insertIdx_loop___redArg
     0.00%  lake     [unknown]               [k] 0xffffffffbb97400f
     0.00%  taskset  [unknown]               [k] 0xffffffffbc338a8c
     0.00%  taskset  [unknown]               [k] 0xffffffffbbc828b4
     0.00%  perf-ex  [unknown]               [k] 0xffffffffbb697298
     0.00%  taskset  [unknown]               [k] 0xffffffffbb697298


#
# (Tip: Treat branches as callchains: perf record -b ... ; perf report --branch-history)
#
Warning:
Kernel address maps (/proc/{kallsyms,modules}) were restricted.

Check /proc/sys/kernel/kptr_restrict before running 'perf record'.

As no suitable kallsyms nor vmlinux was found, kernel samples
can't be resolved.

Samples in kernel modules can't be resolved as well.

