# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu/cycles/P'
# Event count (approx.): 141609097379
#
# Overhead  Command  Shared Object     Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
# ........  .......  ................  ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.03%  lean     libleanshared.so  [.] lean_nat_log2
     0.03%  lake     [unknown]         [k] 0xffffffffbc333f1d
     0.03%  lean     [unknown]         [k] 0xffffffffbba63e92
     0.03%  lean     libleanshared.so  [.] lean_is_expr_def_eq
     0.03%  lean     libleanshared.so  [.] lean::ir::interpreter::load(lean::name const&, lean::ir::type)
     0.03%  lean     libleanshared.so  [.] l___private_Lean_Meta_InferType_0__Lean_Meta_inferMVarType
     0.03%  lean     [unknown]         [k] 0xffffffffbbb60782
     0.03%  lake     libleanshared.so  [.] uv_fs_req_cleanup
     0.03%  lean     libleanshared.so  [.] l_Lean_PersistentEnvExtension_getState___redArg
     0.03%  lean     libleanshared.so  [.] l_Lean_Name_quickCmpAux
     0.03%  lean     libleanshared.so  [.] l_Lean_PersistentEnvExtension_getModuleEntries___redArg
     0.03%  lean     [unknown]         [k] 0xffffffffbb9983ef
     0.03%  lean     libleanshared.so  [.] uv__free
     0.03%  lake     libleanshared.so  [.] lean_string_push
     0.03%  lean     [unknown]         [k] 0xffffffffbb9983f5
     0.03%  lean     libleanshared.so  [.] lean_alloc_object
     0.03%  lean     [unknown]         [k] 0xffffffffbb90d209
     0.03%  lean     libleanshared.so  [.] __gmpz_gcd
     0.03%  lake     [unknown]         [k] 0xffffffffbb97fd4e
     0.03%  lean     libleanshared.so  [.] l_Std_DHashMap_Internal_Raw_u2080_insertIfNew___at___00Lean_finalizeImport_spec__5___redArg
     0.03%  lean     libleanshared.so  [.] __gmpn_xor_n
     0.03%  lake     libleanshared.so  [.] l___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Lean_ScopedEnvExtension_addImportedFn_spec__0___redArg
     0.03%  lean     libleanshared.so  [.] lean_string_append
     0.03%  lean     [unknown]         [k] 0xffffffffbba63e9f
     0.03%  lean     [unknown]         [k] 0xffffffffbba6431a
     0.03%  lean     [unknown]         [k] 0xffffffffbba5b3e4
     0.03%  lean     [unknown]         [k] 0xffffffffbc4001bf
     0.03%  lean     [unknown]         [k] 0xffffffffbbc8857f
     0.03%  lean     [unknown]         [k] 0xffffffffbba692cc
     0.03%  lean     [unknown]         [k] 0xffffffffbba6924e
     0.03%  lean     libleanshared.so  [.] l_String_Pos_Raw_isValidForSlice
     0.03%  lean     libleanshared.so  [.] mi_malloc
     0.03%  lean     [unknown]         [k] 0xffffffffbbbc6b80
     0.03%  lean     libleanshared.so  [.] lean_array_push
     0.03%  lean     [unknown]         [k] 0xffffffffbb738484
     0.03%  lean     libleanshared.so  [.] l_List_findM_x3f___at___00Lean_SearchPath_findWithExt_spec__0
     0.03%  lean     [unknown]         [k] 0xffffffffbba64336
     0.03%  lean     [unknown]         [k] 0xffffffffbb90fa2f
     0.03%  lean     libleanshared.so  [.] __gmpz_ior
     0.03%  lean     libleanshared.so  [.] __gmpz_pow_ui
     0.03%  lean     libleanshared.so  [.] __gmpn_add_n
     0.03%  lean     libleanshared.so  [.] l_Nat_lor___boxed
     0.03%  lake     libleanshared.so  [.] lean_apply_1
     0.03%  lean     [unknown]         [k] 0xffffffffbba65782
     0.03%  lean     [unknown]         [k] 0xffffffffbb998263
     0.03%  lean     libleanshared.so  [.] lean_free_object
     0.03%  lean     libleanshared.so  [.] __gmpn_and_n
     0.03%  lean     [unknown]         [k] 0xffffffffbb7ccc19
     0.03%  lean     libleanshared.so  [.] l___private_Lean_Data_Name_0__Lean_Name_quickCmpImpl
     0.03%  lake     libleanshared.so  [.] l___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Lean_finalizeImport_spec__6
     0.03%  lean     libleanshared.so  [.] l___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Lean_finalizeImport_spec__7
     0.03%  lean     libleanshared.so  [.] l_Lean_Meta_SynthInstance_synth
     0.03%  lake     libleanshared.so  [.] l_Lean_PersistentHashMap_containsAux___at___00Lean_PersistentHashMap_contains___at___00__private_Lean_Meta_Tactic_Simp_SimpTheorems_0__Lean_Meta_eraseIfExists_spec__0_spec__0___redArg
     0.03%  lean     libleanshared.so  [.] __gmpn_gcd_11_x86_64
     0.03%  lean     [unknown]         [k] 0xffffffffbc40186f
     0.03%  lean     [unknown]         [k] 0xffffffffbb93df69
     0.03%  lean     [unknown]         [k] 0xffffffffbb737ef8
     0.03%  lean     [unknown]         [k] 0xffffffffbb71b019
     0.03%  lean     [unknown]         [k] 0xffffffffbb64b9d0
     0.03%  lean     libc.so.6         [.] _int_realloc
     0.03%  lean     libc.so.6         [.] _int_free_create_chunk
     0.03%  lake     libleanshared.so  [.] l_Lean_Parser_Tactic_sepBy1IndentSemicolon
     0.03%  lean     [unknown]         [k] 0xffffffffbbb08ea3
     0.03%  lean     libleanshared.so  [.] l_Lean_Option_get___at___00Lean_Compiler_LCNF_checkpoint_spec__2
